epoch,train_loss,val_acc,seconds
1,1.385914,0.204082,16.382
2,1.173919,0.408163,5.770
3,1.077523,0.428571,5.575
4,1.027388,0.489796,5.572
5,1.001611,0.530612,5.731
6,0.965957,0.469388,5.457
7,0.903664,0.530612,5.656
8,0.886059,0.530612,5.599
9,0.887355,0.653061,5.419
10,0.839736,0.653061,5.651
11,0.781361,0.632653,5.466
12,0.756013,0.693878,5.407
13,0.785636,0.673469,5.322
14,0.744218,0.551020,5.366
15,0.780144,0.673469,5.412
16,0.678867,0.775510,5.330
17,0.684320,0.632653,5.308
18,0.684657,0.693878,5.342
19,0.668941,0.489796,5.297
20,0.620420,0.632653,5.345
21,0.622167,0.612245,5.364
22,0.659430,0.836735,5.342
23,0.612451,0.714286,5.317
24,0.589521,0.734694,5.294
25,0.614329,0.551020,5.419
26,0.603468,0.734694,5.276
27,0.528803,0.795918,5.391
28,0.509982,0.795918,5.324
29,0.562854,0.775510,5.311
30,0.551077,0.714286,5.336
