epoch,train_loss,val_acc,seconds
1,1.480034,0.204082,7.436
2,1.332773,0.387755,5.392
3,1.260012,0.448980,5.317
4,1.214308,0.612245,5.407
5,1.190655,0.428571,5.351
6,1.152176,0.551020,5.372
7,1.114323,0.428571,5.388
8,1.108760,0.530612,5.537
9,1.116115,0.510204,5.429
10,1.092970,0.591837,5.331
11,1.051408,0.591837,5.397
12,1.046067,0.551020,5.345
13,1.081408,0.551020,5.304
14,1.044630,0.551020,5.306
15,1.078698,0.653061,5.338
16,1.014207,0.591837,5.340
17,1.019575,0.653061,5.315
18,1.021641,0.591837,5.399
19,0.999845,0.653061,5.322
20,0.989409,0.571429,5.334
21,0.982056,0.612245,5.427
22,1.001164,0.714286,5.402
23,0.987422,0.714286,5.392
24,0.985099,0.693878,5.432
25,0.978965,0.714286,5.374
26,0.990511,0.714286,5.407
27,0.963177,0.693878,5.414
28,0.964988,0.714286,5.379
29,0.964198,0.714286,5.486
30,0.967998,0.714286,5.367
