epoch,train_loss,val_acc,seconds
1,1.385914,0.204082,22.873
2,1.173919,0.408163,5.366
3,1.077523,0.428571,5.350
4,1.027388,0.489796,5.928
5,1.001611,0.530612,9.630
6,0.965957,0.469388,9.232
7,0.903664,0.530612,5.601
8,0.886059,0.530612,5.207
9,0.887355,0.653061,5.142
10,0.839736,0.653061,5.221
11,0.781361,0.632653,5.174
12,0.756013,0.693878,5.188
13,0.785636,0.673469,5.170
14,0.744218,0.551020,5.177
15,0.780144,0.673469,5.154
16,0.678867,0.775510,5.222
17,0.684320,0.632653,5.235
18,0.684657,0.693878,5.174
19,0.668941,0.489796,5.187
20,0.620420,0.632653,5.201
